country_code,country_name,year,gcf_const_2015_usd,gcf_curr_usd,gcf_pct_gdp,gdp_const_2015_usd,gdp_curr_usd,gdp_growth_annual_pct,gdp_pc_const_2015_usd,gdp_pc_curr_usd,gdp_pc_growth_annual_pct,gfcf_const_2015_usd,gfcf_curr_usd,gfcf_pct_gdp,population_total
CHN,China,1986,,113467013495.652,37.6578802293366,774192860723.962,301310144927.536,8.9437463904392,725.721895334567,282.445603096707,7.33530986061663,,93113390307.2464,30.9028394412806,1066790000.0
CHN,China,1987,,101875915735.426,37.2550720459819,864427096743.192,273455156950.673,11.6552658383921,797.416224331495,252.256760114454,9.87903623382846,,83416274479.8206,30.5045534375743,1084035000.0
CHN,China,1988,,122062518395.062,39.0114582938763,961423696945.326,312888888888.889,11.2209115803492,872.728317988186,284.023573149686,9.44451484164723,,96994617160.4938,30.9997000868056,1101630000.0
CHN,China,1989,,129399924939.271,37.1432672399768,1001879030667.2,348380566801.619,4.20785693658392,895.614384005007,311.429461227032,2.62235859030879,,89049722510.1214,25.5610476002324,1118650000.0
CHN,China,1990,,123261300353.728,34.0914985430681,1041177931705.26,361560229445.507,3.9225195692421,917.187887177205,318.50335359039,2.40879373505875,,86565315650.0956,23.9421564099717,1135185000.0
CHN,China,1991,,136646341463.415,35.5377442696039,1138794946993.44,384510452961.672,9.37563237902144,989.585278674846,334.130288119078,7.89340902881477,,100101045296.167,26.0333742620373,1150780000.0
CHN,China,1992,,168436420722.135,39.3081668840399,1301615550876.41,428502354788.069,14.2976226152779,1117.29533882968,367.822651903542,12.9054122880499,,131189952904.239,30.615923445537,1164970000.0
CHN,China,1993,,194146834054.33,43.4763551900211,1482879870958.35,446557291212.148,13.9261028311995,1258.34142676619,378.939353053314,12.6238858280969,,166613890516.5,37.3107535797341,1178440000.0
CHN,China,1994,,228350004171.142,40.2783746945492,1676880778212.51,566929539493.172,13.0827122987906,1406.97393365064,475.677874448369,11.8117788799513,,196693415733.594,34.6945082292652,1191835000.0
CHN,China,1995,475395820990.633,288574980748.776,39.092189056179,1861596132617.78,738190896227.55,11.0154136659719,1545.07897848105,612.680277898627,9.81575006667488,,240857329959.694,32.6280547742557,1204855000.0
CHN,China,1996,538099409615.955,328101104439.105,37.7768637845413,2047258472826.1,868523936530.083,9.97328781228394,1681.45741269443,713.337387811657,8.82663191414676,,277142350263.255,31.9095811418268,1217550000.0
